name,mode,tariff_type,case,ev_bypassed,ev_charge_max_kw,offset_max_hours,n_days,dwelling_id,breakdown_path,existing_completed_runs,runs_added,target_total_runs,final_total_runs,status_counts,max_monovalent_hp_capacity_kw,output_folder,output_subdir,output_dir
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,2.0,7,92,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_92_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,2.0,7,92,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_92_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,2.0,7,93,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_93_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,2.0,7,93,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_93_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,2.0,7,93,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_93_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,2.0,7,93,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_93_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,2.0,7,93,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_93_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,2.0,7,94,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_94_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,2.0,7,94,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_94_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,2.0,7,94,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_94_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,2.0,7,94,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_94_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,2.0,7,94,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_94_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,2.0,7,95,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_95_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,2.0,7,95,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_95_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,2.0,7,95,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_95_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,2.0,7,95,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_95_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,2.0,7,95,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_95_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,2.0,7,96,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_96_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,2.0,7,96,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_96_runs_breakdown.csv,0,10,10,10,"{'optimal': 9, 'infeasible': 1}",,cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,2.0,7,96,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_96_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,2.0,7,96,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_96_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,2.0,7,96,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_96_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,2.0,7,97,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_97_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,2.0,7,97,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_97_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,2.0,7,97,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_97_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,2.0,7,97,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_97_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,2.0,7,97,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_97_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,2.0,7,98,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_98_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,2.0,7,98,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_98_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,7.0,2.0,7,98,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_98_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV7kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,9.0,2.0,7,98,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_98_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV9kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,11.0,2.0,7,98,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_98_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV11kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,3.0,2.0,7,99,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_99_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV3kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
agile_monovalent_ev5_offset2p0_7d,per_dwelling_cache,agile,hybrid,False,5.0,2.0,7,99,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll\dwelling_99_runs_breakdown.csv,0,10,10,10,{'optimal': 10},,cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,Simulation Cache/cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll,E:\Github\LV-network\Output Data\Simulation Cache\cache_tariff-agile_case-hybrid_EV5kW_offset2p0h_start20210207_days7_runs10_seed42_dwAll
